City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Haines Junction,CA,2021-11-20 12:31:25,60.7522,-137.5108,-36.45,74,49,2.3
253,Lagunas,PE,2021-11-20 12:31:26,-5.2269,-75.6753,74.39,91,100,2.57
254,College,US,2021-11-20 12:31:26,64.8569,-147.8028,-16.42,70,20,0.0
255,Boke,GN,2021-11-20 12:31:26,10.9409,-14.2967,95.63,36,0,4.25
256,Ahuimanu,US,2021-11-20 12:31:27,21.4447,-157.8378,75.85,75,1,6.91
257,Bubaque,GW,2021-11-20 12:31:27,11.2833,-15.8333,83.98,52,1,4.32
258,Lasa,IT,2021-11-20 12:31:27,46.6166,10.7002,56.28,75,8,0.56
259,Swan River,CA,2021-11-20 12:30:14,52.1058,-101.2676,19.29,79,7,11.5
260,Oranjemund,NA,2021-11-20 12:31:28,-28.55,16.4333,66.45,68,3,20.29
261,Bhag,PK,2021-11-20 12:31:28,29.0415,67.8239,73.24,15,0,1.86
262,Tiszasuly,HU,2021-11-20 12:31:28,47.3833,20.4,60.21,64,1,1.81
263,Vila Franca Do Campo,PT,2021-11-20 12:31:28,37.7167,-25.4333,68.2,66,36,15.48
264,Oyama,JP,2021-11-20 12:31:29,36.3,139.8,60.58,61,53,2.82
265,Comodoro Rivadavia,AR,2021-11-20 12:31:29,-45.8667,-67.5,66.06,37,0,23.02
266,Ankang,CN,2021-11-20 12:31:29,32.68,109.0172,51.85,92,100,1.7
267,Hambantota,LK,2021-11-20 12:31:30,6.1241,81.1185,84.54,74,20,11.5
268,Sekoma,BW,2021-11-20 12:31:30,-24.4,23.8833,92.95,16,57,4.7
269,Guarapari,BR,2021-11-20 12:31:30,-20.6667,-40.4975,75.09,98,100,6.08
270,Olafsvik,IS,2021-11-20 12:31:30,64.8945,-23.7142,33.66,67,98,4.74
271,Bethel,US,2021-11-20 12:30:00,41.3712,-73.414,35.49,83,1,3.44
272,Richards Bay,ZA,2021-11-20 12:31:31,-28.783,32.0377,68.41,69,100,6.44
273,The Valley,AI,2021-11-20 12:31:31,18.217,-63.0578,83.1,74,40,8.05
274,Nome,US,2021-11-20 12:31:31,64.5011,-165.4064,1.47,60,1,0.0
275,Sun City West,US,2021-11-20 12:31:32,33.662,-112.3413,66.38,32,1,6.91
276,Chalons-En-Champagne,FR,2021-11-20 12:32:32,48.9539,4.3672,46.98,71,0,5.06
277,Parana,AR,2021-11-20 12:32:32,-31.732,-60.5238,81.55,50,0,6.96
278,Kavaratti,IN,2021-11-20 12:32:33,10.5669,72.642,81.72,74,79,13.94
279,Bonfim,BR,2021-11-20 12:32:33,3.0833,-59.95,85.42,58,100,2.89
280,Esperance,AU,2021-11-20 12:32:33,-33.8667,121.9,60.64,60,2,18.01
281,Barcarena,BR,2021-11-20 12:32:34,-1.5058,-48.6258,84.25,67,13,7.23
282,Necochea,AR,2021-11-20 12:30:03,-38.5473,-58.7368,76.03,33,0,13.29
283,Yar-Sale,RU,2021-11-20 12:32:34,66.8333,70.8333,4.82,94,100,19.66
284,Kuzovatovo,RU,2021-11-20 12:32:34,53.5468,47.6866,29.75,95,100,19.8
285,Leningradskiy,RU,2021-11-20 12:32:35,69.3833,178.4167,-5.4,85,2,4.25
286,Yining,CN,2021-11-20 12:32:35,29.0361,114.5636,58.28,97,100,1.07
287,Srednekolymsk,RU,2021-11-20 12:32:35,67.45,153.6833,-14.67,100,57,5.82
288,Tessalit,ML,2021-11-20 12:24:53,20.1986,1.0114,87.39,17,99,17.69
